name,pronounciation
เลิศพิสิฐ,เลิด-พิ-สิด
วนิดา,วะ-นิ-ดา
วรท,วะ-รด
ศตพร,สะ-ตะ-พอน
ศรุต,สะ-รุด
สรนันท์,สอ-ระ-นัน
สิรินดา,สิ-ริ-นะ-ดา
หรรษพล,หัด-สะ-พน
หรรษรักษ์,หัด-สะ-รัก
อนาวิล,อะ-นา-วิน
อภิรตา,อะ-พิ-ระ-ตา
,
ชื่อมงคล,คำอ่าน
กชวรรณ,กด-ชะ-วัน
กรทักษ์,กอ-ระ-ทัก
ขจีเนตร,ขะ-จี-เนด
ขวัญชัย,ขวัน-ไช
คณิฏฐา,คะ-นิด-ถา
คณิน,คะ-นิน
จารุนันท์,จา-รุ-นัน
จิรกิตติ์,จิ-ระ-กิด
ฉันทัช,ฉัน-ทัด
ฉันท์ชนิต,ฉัน-ชะ-นิด
ชนวีร์,ชะ-นะ-วี
ชนิตสิรี,ชะ-นิด-สิ-รี
ญาณัฐ,ยา-นัด
ญาณิศา,ยา-นิ-สา
ฐิตา,ถิ-ตา
ฐิติวุฒิ,ถิ-ติ-วุด
ณัชชา,นัด-ชา
ดนุสรณ์,ดะ-นุ-สอน
ดรณ์,ดอน
ติชิลา,ติ-ชิ-ลา
เตชน์,เตด
ทยุต,ทะ-ยุด
ทีฆทัศน์,ที-คะ-ทัด
ธงชัย,ทง-ไช
ธนาวรรณ,ทะ-นา-วัน
นลินญา,นะ-ลิน-ยา
นันทิกานต์,นัน-ทิ-กาน
ยชนา,ยด-ชะ-นา
ยศธนะ,ยด-ทะ-นะ
เยาวเรศ,เยา-วะ-เรด
โยธิน,โย-ทิน
โยษิตา,โย-สิ-ตา
รชนิกร,ระ-ชะ-นิ-กอน
รตินันท์,ระ-ติ-นัน
รวินันท์,ระ-วิ-นัน
ราชินทร์,รา-ชิน
รุจ,รุด
รุ่งรวิน,รุ่ง-ระ-วิน
ลักษณ์นารา,ลัก-สะ-นา-รา
ลัทธวรรณ,ลัด-ทะ-วัน
เลิศวรรธน์,เลิด-วัด
วณิชชา,วะ-นิด-ชา
วธูสิริ,วะ-ทู-สิ-ริ
วนศักดิ์,วะ-นะ-สัก
วรกานต์,วอ-ระ-กาน
วรนน,วอ-ระ-นน
วรนิษฐา,วอ-ระ-นิด-ถา
วรรณธัช,วัน-นะ-ทัด
วรวลัญช์,วอ-ระ-วะ-ลัน
วัชสัณห์,วัด-ชะ-สัน
วิชญ์,วิด
ศราวิน,สะ-รา-วิน
ศวรรยา,สะ-หวัน-ยา
ศาสวัต,สาด-สะ-วัด
ศิรชัช,สิ-ระ-ชัด
ศิรดา,สิ-ระ-ดา
ศิวกร,สิ-วะ-กอน
ศิศิรา,สิ-สิ-รา
โศศิษฐา,โส-สิด-ถา
สถิตคุณ,สะ-ถิด-คุณ
สรณ์สิริ,สอน-สิ-ริ
สรวรรณ,สอ-ระ-วัน
สรัลชนา,สะ-รัน-ชะ-นา
สริตา,สะ-ริ-ตา
สวิตต์,สะ-วิด
สังสิต,สัง-สิด
สัณฐิติ,สัน-ถิ-ติ
สันต์ฤทัย,สัน-รึ-ไท
หทัยทัต,หะ-ไท-ทัด
หรรษกานต์,หัด-สะ-กาน
หาญชัย,หาน-ไช
หิรัญ,หิ-รัน
อคิราห์,อะ-คิ-รา
อชิระ,อะ-ชิ-ระ
อดิวรรณ,อะ-ดิ-วัน
อดิศร,อะ-ดิ-สอน
อติรุจ,อะ-ติ-รุด
อธิติยา,อะ-ทิ-ติ-ยา
อนวัช,อะ-นะ-วัด
ชื่อมงคล,คำอ่าน
กชพรรณ,กด-ชะ-พัน
กมลพร,กะ-มน-พอน
กรชวัล,กอน-ชะ-วัน
กรณิศ,กอ-ระ-นิด
กรองขวัญ,กรอง-ขวัน
กัญญาวีร์,กัน-ยา-วี
การัณยภาส,กา-รัน-ยะ-พาด
กุลปริยา,กุน-ปริ-ยา
ขวัญชัย,ขวัน-ไช
เขมิกา,เข-มิ-กา
คณิศร,คะ-นิด-สอน
คุณากร,คุ-นา-กอน
จรณบูรณ์,จะ-ระ-นะ-บูน
จารีย์,จา-รี
จีรภา,จี-ระ-พา
จุมพล,จุม-พน
ชญาภา,ชะ-ยา-พา
ชไมพร,ชะ-ไม-พอน
ญาณศรณ์,ยา-นะ-สอน
ญาณากร,ยา-นา-กอน
ฐากูร,ถา-กูน
ณัฏฐณิชา,นัด-ถะ-นิ-ชา
ณิชชยา,นิด-ชะ-ยา
บวรภัค,บะ-วอน-พัก
บวรวิชญ์,บะ-วอน-วิด
บุญญิสา,บุน-ยิ-สา
บุรัสกร,บุ-รัด-สะ-กอน
บุลภรณ์,บุ-ละ-พอน
เบญญาภา,เบน-ยา-พา
ปฏิภาณ,ปะ-ติ-พาน
ปณชัย,ปะ-นะ-ไช
ปภาวิชญ์,ปะ-พา-วิด
ประภาสิริ,ประ-พา-สิ-หริ
ประวัณ,ประ-วัน
ประไณย,ประ-ไน
ปริชญ์,ปริด
ปริยกร,ปริ-ยะ-กอน
วีณวัช,ปะ-วีน-วัด
ปองภพ,ปอง-พบ
ปารเมศ,ปา-ระ-เมด
ปุณยภา,ปุน-ยะ-พา
ปุษาบุล,ปุ-สา-บุน
ไปรยา,ไปร-ยา
พงศ์ภรณ์,พง-พอน
พรลภัส,พอน-ละ-พัด
พรหมพิริยะ,พรม-พิ-ริ-ยะ
พริสร,พะ-ริด-สอน
พสิษฐ์,พะ-สิด
พัชรางค์,พัด-ชะ-ราง
พาณิภัค,พา-นิ-พัก
พิชญาภา,พิด-ชะ-ยา-พา
พิชามญชุ์,พิ-ชา-มน
พิพรรษพร,พิ-พัด-พอน
พิรัชย์,พิ-รัด
พิศลยา,พิ-สน-ละ-ยา
พีรยา,พี-ระ-ยา
เพ็ญพิชชา,เพ็น-พิด-ชา
ภคพร,พะ-คะ-พอน
ภรณี,พะ-ระ-นี
ภัคจิรา,พัก-คะ-จิ-รา
ภัณฑิรา,พัน-ทิ-รา
ภิญญามาศ,พิน-ยา-มาด
ภีมพล,พี-มะ-พน
ภูริณัฐ,พู-นิ-รัด
มัณยาภา,มัน-ยา-พา
ยศวริศ,ยด-วะ-ริด
รจเรข,รด-จะ-เรก
รมณีย์,รม-มะ-นี
รวิภาส,ระ-วิ-พาด
รุจยา,รุด-จะ-ยา
รุจิภาส,รุ-จิ-พาด
รุจิราพร,รุ-จิ-รา-พอน
รุ่งวิกรัย,รุ่ง-วิ-ไกร
รมย์รุจี,รม-รุ-จี
ลักขิกา,ลัก-ขิ-กา
ลาภิศ,ลา – พิด
เลิศพิสิฐ,เลิด-พิ-สิด
วชิรญาณ์,วะ-ชิ-ระ-ยา
วรกมล,วอ-ระ-กะ-มน
วรพงศ์,วอ-ระ-พง
วรภา,ส วอ-ระ-พาด
วรรณลภย์,วัน-ลบ
วรรณิศา,วัน-นิ-สา
วรวิบูล,วอ-ระ-วิ-บูน
วรัชยา,วะ-รัด-ชะ-ยา
วรัสยา,วะ-รัด-สะ-ยา
วรุณยุพา,วะ-รุน-ยุ-พา
วสิพร,วะ-สิ-พอน
วิญญู,วิน-ยู
วิภาพร,วิ-พา-พอน
วิรชา,วิ-ระ-ชา
วิศัลย์ศยา,วิ-สัน-สะ-ยา
วิโรษณา,วิ-โร-สะ-นา
วีรลักษณ์,วี-ระ-ลัก
วีริศ,วี-ริด
วุฒิพร,วุด-ทิ-พอน
แวววิไล,แวว-วิ-ไล
ศรัณพร,สะ-รัน-พอน
ศรีวิไล,สี-วิ-ไล
ศิรัญญา,สิ-รัน-ยา
ศิวกร,สิ-วะ-กอน
ศุภกิจ,สุ-พะ-กิด
ศุภชีพ,สุ-พะ-ชีบ
ศุภพิชญ์,สุ-พะ-พิด
ศุภสัณห์,สุ-พะ-สัน
ศุภิสรา,สุ-พิด-สะ-รา
สรรเพชญ,สัน-เพ็ด
สรวิศ,สอ-ระ-วิด
สรัลพร,สะ-รัน-พอน
สัณหพร,สัน-หะ-พอน
สัณหรส,สัน-หะ-รด
สัภยา,สับ-พะ-ยา
สิปปภาส,สิบ-ปะ-พาด
สิริจรรยา,สิ-หริ-จัน-ยา
สุกัลย์,สุ-กัน
สุณัฏฐา,สุ-นัด-ถา
สุพิชฌาย์,สุ-พิด-ชา
สุภิญญา,สุ-พิน-ยา
สุวพิชญ์,สุ-วะ-พิด
เสาวภาคย์,เสา-วะ-พาก
หฤษฎ์,หะ-ริด
หิรัญ,หิ-รัน
อจลา,อะ-จะ-ลา
อชิรญาณ์,อะ-ชิ-ระ-ยา
อภิญญา,อะ-พิน-ยา
อภิวิชญ์,อะ-พิ-วิด
อภิษฎา,อะ-พิด-สะ-ดา
อภิสมย์,อะ-พิ-สม
อภิสร,อะ-พิ-สอน
อรปรียา,ออน-ปรี-ยา
อรอมล,ออน-อะ-มน
อริสา,อะ-ริ-สา
อรุช,อะ-รุด
อวัช,อะ-วัด
อังศุชวาล,อัง-สุ-ชะ-วาน
อาชว์,อาด
อารีวรรณ,อา-รี-วัน
อิษฎา,อิด-สะ-ดา
อุกฤษฎ์,อุก-กริด
อุปมาพร,อุบ-ปะ-มา-พอน
อุษมา,อุ-สะ-มา
อุไรอร,อุ-ไร-ออน
อโรชา,อะ-โร-ชา
ชื่อมงคล,คำอ่าน
กชมน,กด-ชะ-มน
กฤตชญา,กริด-ชะ-ยา
กฤตภาส,กริด-ตะ-ภาด
กฤติพงศ์,กริด-ติ-พง
กัณฑ์อเนก,กัน-อะ-เหนก
กันต์ศม,กัน-สม
กิตติกา,กิด-ติ-กา
เก็จมณี,เก็ด-มะ-นี
เขมนันท์,เข-มะ-นัน
คณาธิป,คะ-นา-ทิบ
คมสันต์,คม-สัน
คุณานนต์,คุ-นา-นน
จิตติพัฒน์,จิด-ติ-พัด
ฉันทิต,ฉัน-ทิด
ชนกันต์,ชะ-นะ-กัน
ชนิกานต์,ชะ-นิ-กาน
ชนิศา,ชะ-นิ-สา
ชัญญานุช,ชัน-ยา-นุด
ญานิศา,ยา-นิ-สา
ฐปนนท์,ถะ-ปะ-นน
ฐานพัฒน์,ถา-นะ-พัด
ฐิติกานต์,ถิ-ติ-กาน
ฐิติมน,ถิ-ติ-มน
ณัฏฐกิตติ์,นัด-ถะ-กิด
ณิชมน,ชิด-ชะ-มน
ดนุนันท์,ดะ-นุ-นัน
ติณณา,ติน-นา
ทัตพิชา,ทัด-พิ-ชา
ทิพานัน,ทิ-พา-นัน
ทีปต์,ทีบ
เทพทัต,เทพ-พะ-ทัด
ธนศักดิ์,ทะ-นะ-สัก
ธนัฏฐา,ทะ-นัด-ถา
ธนิดา,ทะ-นิ-ดา
ธมนต์,ทะ-มน
ธนโชติ,ทะ-นะ-โชด
ธมนันท์,ทะ-มะ-นัน
ธฤต,ทะ-ริด
ธฤตญาณ,ทะ-ริด-ยาน
ธัญพิสิษฐ์,ทัน-พิ-สิด
ธิติมา,ทิ-ติ-มา
ธินิดา,ทิ-นิ-ดา
ธิษณามดี,ทิด-สะ-นา-มะ-ดี
ธีธัช,ที-ทัด
ธเนศ,ทะ-เนด
นนทพัทธ์,นน-ทะ-พัด
นภัส,นะ-พัด
นฤนาถ,นะ-รึ-นาด
นฤมิต,นะ-รึ-มิด
นันทภพ,นัน-ทะ-พบ
นันทิมา,นัน-ทิ-มา
นิชดา,นิด-ชะ-ดา
นิชนันท์,นิด-ชะ-นัน
นิฏฐา,นิด-ถา
นิพาดา,นิ-พา-ดา
บัญญพนต์,บัน-ยะ-พน
บุญญฤทธิ์,บุน-ยะ-ริด
บุญสิตา,บุน-สิ-ตา
บุณพจน์,บุน-นะ-พด
เบญญาภา,เบน-ยา-พา
ปกิตตา,ปะ-กิด-ตา
ปฏิพน,ปะ-ติ-พน
ปธานิน,ปะ-ทา-นิน
ปสุตา,ปะ-สุ-ตา
ปาณัท,ปา-นัด
ปาณัสม์,ปา-นัด
ปานใจ,ปาน-ใจ
ปิติมน,ปิ-ติ-มน
ปุญญิสา,ปุน-ยิ-สา
ปุณณัตถ์,ปุน-นัด
ปุณมนัส,ปุน-มะ-นัด
เปมทัต,เป-มะ-ทัด
เปมิศา,เป-มิ-สา
ผนึกสิน,ผะ-หนึก-สิน
ผุสดี,ผุด-สะ-ดี
พงศ์กฤต,พง-กริด
พจณิชา,พด-จะ-นิ-ชา
พฤทธิ์,พะ-ริด
พศิกา,พะ-สิ-กา
พศิน,พะ-สิน
พัณณิตา,พัน-นิ-ตา
พาทิศ,พา-ทิด
พิจักขณา,พิ-จัก-ขะ-นา
พิชชาชาญ,พิด-ชา-ชาน
พิธาน,พิ-ทาน
พิมพ์ทอง,พิม-ทอง
พิมพ์พจี,พิม-พะ-จี
พิมุกต์,พิ-มุก
พุฒินาท,พุด-ทิ-นาด
ภคนันท์,พะ-คะ-นัน
ภาคิน,พา-คิน
ภาณิน,พา-นิน
ภาสินี,พา-สิ-นี
ภูดิส,พู-ดิด
ภูมิพัฒน์,พู-มิ-พัด
มนชิดา,มน-ชิ-ดา
มนัสนันท์,มะ-นัด-สะ-นัน
มานิดา,มา-นิ-ดา
มานเมตต์,มาน-เมด
เมธาสิทธิ์,เม-ทา-สิด
ศักดิธัช,สัก-ดิ-ทัด
ศึกษิต,สึก-สิด
ศุทธินี,สุด-ทิ-นี
ศุภกานต์,สุ-พะ-กาน
ศุภกิตติ์,สุ-พะ-กิด
ศุภสัณห์,สุ-พะ-สัน
ศุภานิช,สุ-พา-นิด
สุพิชญา,สุ-พิด-ชะ-ยา
สัณฐิติ,สัน-ถิ-ติ
สัณหพจน์,สัน-หะ-พด
สันต์ทศน์,สัน-ทด
สันต์ภพ,สัน-พบ
สาธิดา,สา-ทิ-ดา
สิทธินี,สิด-ทิ-นี
สิทธิศักดิ์,สิด-ทิ-สัก
สุจิณณา,สุ-จิน-นา
สุชาดา,สุ-ชา-ดา
สุตนันท์,สุ-ตะ-นัน
สุทธิพจน์,สุด-ทิ-พด
สุทมาตม์,สุด-ทะ-มาด
สุทัชชา,สุ-ทัด-ชา
สุธีมนต์,สุ-ที-มน
สุนิดา,สุ-นิ-ดา
สุภนิดา,สุ-พะ-นิ-ดา
สุภานี,สุ-พา-นี
สุภิญญา,สุ-พิน-ยา
สุมานัส,สุ-มา-นัด
สุเมธ,สุ-เมด
โสภิต,โส-พิด
อดิศา,อะ-ดิ-สา
อติคุณ,อะ-ติ-คุน
อติชาติ,อะ-ติ-ชาด
อธิชนม์,อะ-ทิ-ชน
อธิป,อะ-ทิบ
อธิพันธ์,อะ-ทิ-พัน
อนณ,อะ-นน
อนพัช,อะ-นะ-พัด
อนันตญา,อะ-นัน-ตะ-ยา
อนุศิษฎ์,อะ-นุ-สิด
อัคคเดช,อัก-คะ-เดด
อัจจิมา,อัด-จิ-มา
อิทธิมนต์,อิด-ทิ-มน
อเนชา,อะ-เน-ชา
ชื่อมงคล,คำอ่าน
กชอร,กด-ชะ-ออน
กนกกาญจน์,กะ-หนก-กาน
กนกพิชญ์,กะ-หนก-พิด
กมลกานต์,กะ-มน-กาน
กมลนิตย์,กะ-มน-นิด
กรรวี,กอน-ระ-วี
กรองขวัญ,กรอง-ขวัน
กฤตนัย,กริด-ตะ-ไน
กฤตศิลป์,กริด-ตะ-สิน
กฤติพงศ์,กริด-ติ-พง
กฤษกร,กริด-สะ-กอน
กวินทิพย์,กะ-วิน-ทิบ
กัญญ์วรา,กัน-วะ-รา
กันยรัตน์,กัน-ยะ-รัด
กานต์พิชชา,กาน-พิด-ชา
กิจจาพร,กิด-จา-พอน
กิตติธรา,กิด-ติ-ทะ-รา
กุลชา,กุน-ละ-ชา
กุศลพร,กุ-สน-พอน
แก้วขวัญ,แก้ว-ขวัน
ไกรเลิศ,ไกร-เลิด
ขจรจิต,ขะ-จอน-จิด
ขจิตพร,ขะ-จิด-พอน
ขจีเนตร,ขะ-จี-เนด
ขวัญชัย,ขวัน-ไช
จรรยพร,จัน-ยะ-พอน
จรรย์อมล,จัน-อะ-มน
จริญญา,จะ-ริน-ยา
จันจิมา,จัน-จิ-มา
จิตตวิสุทธิ,จิด-ตะ-วิ-สุด
จิตติมา,จิด-ติ-มา
จินดารัตน์,จิน-ดา-รัด
จินต์ศุจี,จิน-สุ-จี
จิรกิตติ์,จิ-ระ-กิด
จิรนนท์,จิ-ระ-นน
จิราพัชร,จิ-รา-พัด
จิรายุ,จิ-รา-ยุ
จีรนาถ,จี-ระ-นาด
จุรีพร,จุ-รี-พอน
เจตนิพัทธ์,เจด-นิ-พัด
เจตพล,เจด-พน
เจริญศรี,จะ-เริน-สี
เจียมจิตร์,เจียม-จิด
ฉันชนก,ฉัน-ชะ-นก
ฉันหทัย,ฉัน-หะ-ไท
ชญานิศ,ชะ-ยา-นิด
ชญาภา,ชะ-ยา-พา
ชนัต,ชะ-นัด
ชนิตร์นันท์,ชะ-นิด-นัน
ชนินาถ,ชะ-นิ-นาด
ชยุตรา,ชะ-ยุด-ตรา
ชลิตา,ชะ-ลิ-ตา
ชวรัตน์,ชะ-วะ-รัด
ชัยพร,ไช-ยะ-พอน
ชาติอาชาไนย,ชาด-อา-ชา-ไน
ชาลินี,ชา-ลิ-นี
ชินบุตร,ชิน-นะ-บุด
ชุติกา,ชุ-ติ-กา
ชโนทัย,ชะ-โน-ไท
โชติกา,โช-ติ-กา
เตชินี,เต-ชิ-นี
ถิรดา,ถิ-ระ-ดา
ถิรพุทธิ์,ถิ-ระ-พุด
ทยากร,ทะ-ยา-กอน
ทักษพร,ทัก-สะ-พอน
ทัตสรวง,ทัด-สวง
ธนบดี,ทะ-นะ-บอ-ดี
ธนัญญา,ทะ-นัน-ยา
ธนาดุล,ทะ-นา-ดุน
ธยานี,ทะ-ยา-นี
ธรรมรัตน์,ทำ-มะ-รัด
ธัญชนก,ทัน-ชะ-นก
ธีรนันท์,ที-ระ-นัน
ธุวานันท์,ทุ-วา-นัน
นพรุจ,นบ-พะ-รุด
นภัสร,นะ-พัด-สอน
นราวดี,นะ-รา-วะ-ดี
นิรินธน์,นิ-ริน
นิรุชา,นิ-รุ-ชา
นิศมา,นิด-สะ-มา
บุญนิสา,บุน-นิ-สา
บุลกิต,บุ-ละ-กิด
ปพิชญา,ปะ-พิด-ชะ-ยา
ปภาวรินท์,ปะ-ภา-วะ-ริน
ปภินวิช,ปะ-พิน-วิด
ประกายจิต,ประ-กาย-จิด
ปรัตถ์,ปะ-รัด
ปริยาภัทร,ปริ-ยา-ทัด
ปารวี,ปา-ระ-วี
ปาลิดา,ปา-ลิ-ดา
ปีย์วรา,ปี-วะ-รา
เปมทัต,เป-มะ-ทัด
เปรมวดี,เปรม-วะ-ดี
ผลิขวัญ,ผลิ-ขวัน
เผดิมชัย,ผะ-เดิม-ไช
พงศพัศ,พง-สะ-พัด
พจนาถ,พด-จะ-นาด
พชรพล,พด-ชะ-ระ-พน
พนัชกร,พะ-นัด-ชะ-กอน
พรประภา,พอน-ประ-พา
พรภวิษย์,พอน-พะ-วิด
พรสุนีต์,พอน-สุ-นี
พศวัต,พด-สะ-วัด
พิชชานันท์,พิด-ชา-นัน
พิมพ์ธิดา,พิม-ทิ-ดา
พิมลรัตน์,พิ-มน-รัด
พีรชยา,พี-ระ-ชะ-ยา
เฟื่องรัตน์,เฟื่อง-รัด
ภัทรธิดา,พัด-ทระ-ทิ-ดา
ภัทรศยา,พัด-สะ-หยา
ภาพิต,พา-พิด
มนรดา,มน-ระ-ดา
มนสิริ,มน-สิ-หริ
มนัสพร,มะ-นัด-สะ-พอน
มนัสวี,มะ-นัด-สะ-วี
มยุรฉัตร,มะ-ยุ-ระ-ฉัด
มิตรสินี,มิด-สิ-นี
รติมา,ระ-ติ-มา
รวิสรา,ระ-วิ-สะ-รา
รสนันท์,รด-สะ-นัน
รุจิราพร,รุ-จิ-รา-พอน
ลาภิศ,ลา-พิด
วทัญญา,วะ-ทัน-ยา
วรนาถ,วอ-ระ-นาด
วรวิบูล,วอ-ระ-วิ-บูน
สาทริยา,สา-ทริ-ยา
หัตถพร,หัด-ถะ-พอน
อชิระ,อะ-ชิ-ระ
อธิชนม์,อะ-ทิ-ชน
